Wavelength (nm),T
565.00,9.60438E+01
566.00,9.69581E+01
567.00,9.8971E+01
568.00,9.94655E+01
569.00,9.79743E+01
570.00,9.68314E+01
571.00,9.77434E+01
572.00,9.95829E+01
573.00,9.97562E+01
574.00,9.78429E+01
575.00,9.62835E+01
576.00,9.69845E+01
577.00,9.90691E+01
578.00,9.98876E+01
579.00,9.8435E+01
580.00,9.67134E+01
581.00,9.6801E+01
582.00,9.83365E+01
583.00,9.90963E+01
584.00,9.79444E+01
585.00,9.64634E+01
586.00,9.67016E+01
587.00,9.85972E+01
588.00,9.99652E+01
589.00,9.91112E+01
590.00,9.71743E+01
591.00,9.65349E+01
592.00,9.79102E+01
593.00,9.96583E+01
594.00,9.96289E+01
595.00,9.78958E+01
596.00,9.65468E+01
597.00,9.69433E+01
598.00,9.83003E+01
599.00,9.86849E+01
600.00,9.74352E+01
601.00,9.601E+01
602.00,9.59421E+01
603.00,9.71686E+01
604.00,9.81498E+01
605.00,9.76686E+01
606.00,9.64058E+01
607.00,9.60668E+01
608.00,9.73638E+01
609.00,9.92046E+01
610.00,9.97253E+01
611.00,9.84592E+01
612.00,9.69421E+01
613.00,9.68375E+01
614.00,9.82153E+01
615.00,9.95327E+01
616.00,9.92612E+01
617.00,9.77229E+01
618.00,9.66711E+01
619.00,9.72623E+01
620.00,9.89158E+01
621.00,9.98443E+01
622.00,9.89607E+01
623.00,9.72025E+01
624.00,9.63938E+01
625.00,9.73197E+01
626.00,9.90544E+01
627.00,9.98212E+01
628.00,9.88737E+01
629.00,9.7336E+01
630.00,9.68086E+01
631.00,9.76992E+01
632.00,9.89036E+01
633.00,9.893E+01
634.00,9.7599E+01
635.00,9.62761E+01
636.00,9.6327E+01
637.00,9.77723E+01
638.00,9.92197E+01
639.00,9.91485E+01
640.00,9.76036E+01
641.00,9.61642E+01
642.00,9.62439E+01
643.00,9.7838E+01
644.00,9.9547E+01
645.00,9.98302E+01
646.00,9.86237E+01
647.00,9.73349E+01
648.00,9.7224E+01
649.00,9.82076E+01
650.00,9.89944E+01
651.00,9.84276E+01
652.00,9.68146E+01
653.00,9.55901E+01
654.00,9.58831E+01
655.00,9.7545E+01
656.00,9.92264E+01
657.00,9.95182E+01
658.00,9.83842E+01
659.00,9.7143E+01
660.00,9.7017E+01
661.00,9.80198E+01
662.00,9.9006E+01
663.00,9.87938E+01
664.00,9.74646E+01
665.00,9.6277E+01
666.00,9.63207E+01
667.00,9.75012E+01
668.00,9.86144E+01
669.00,9.84951E+01
670.00,9.73177E+01
671.00,9.64266E+01
672.00,9.69022E+01
673.00,9.85113E+01
674.00,9.98182E+01
675.00,9.95206E+01
676.00,9.79086E+01
677.00,9.65119E+01
678.00,9.64137E+01
679.00,9.72626E+01
680.00,9.77176E+01
681.00,9.70001E+01
682.00,9.59374E+01
683.00,9.60169E+01
684.00,9.76599E+01
685.00,9.95305E+01
686.00,9.96918E+01
687.00,9.79624E+01
688.00,9.62569E+01
689.00,9.6202E+01
690.00,9.73154E+01
691.00,9.75412E+01
692.00,9.59015E+01
693.00,9.42506E+01
694.00,9.56724E+01
695.00,9.9672E+01
696.00,8.34674E+01
697.00,3.55848E+01
698.00,1.07792E+01
699.00,3.61579E+00
700.00,1.47909E+00
701.00,7.4457E-01
702.00,4.65423E-01
703.00,3.7595E-01
