wav,flux
3000.0,4.823556344468848
3001.0,4.823423052539377
3002.0,4.9634952684978195
3003.0,5.191752136781346
3004.0,5.340291620115373
3005.0,5.496322252356923
3006.0,5.6176956172169765
3007.0,5.856287236675704
3008.0,6.145710238477833
3009.0,6.479428791842473
3010.0,6.875401608024371
3011.0,7.216883143277014
3012.0,7.658426332911844
3013.0,7.968243421762402
3014.0,8.209620364737999
3015.0,8.52504706347826
3016.0,8.727742765463054
3017.0,8.84735894277259
3018.0,8.965056172906923
3019.0,9.088911211199433
3020.0,9.228469031410624
3021.0,9.44420948025619
3022.0,9.727546181816525
3023.0,9.991947610905182
3024.0,10.314835268715425
3025.0,10.754200712956386
3026.0,11.2006554755362
3027.0,11.6832942561466
3028.0,12.207333243143564
3029.0,12.625260602077674
3030.0,13.195690800727276
3031.0,13.690996935910466
3032.0,14.090895956802191
3033.0,14.46434355486052
3034.0,14.706452384370976
3035.0,14.965689641442776
3036.0,15.210743665431064
3037.0,15.469009729891297
3038.0,15.600958286984989
3039.0,15.568603597688544
3040.0,15.616274435631054
3041.0,15.822857914435836
3042.0,16.28555373232168
3043.0,16.782003064953244
3044.0,17.229664576678726
3045.0,17.635261602744357
3046.0,18.11804732226437
3047.0,18.849616572509635
3048.0,19.526751631003947
3049.0,20.20412348090725
3050.0,20.96790891395168
3051.0,21.63443120098275
3052.0,22.2878528689545
3053.0,22.810900640398895
3054.0,23.223149875434846
3055.0,23.535827697763523
3056.0,23.66270689545885
3057.0,23.7175559023446
3058.0,23.867074686242468
3059.0,24.18198067839286
3060.0,24.535195904047015
3061.0,24.74049808547388
3062.0,24.72738182847328
3063.0,24.738712086099397
3064.0,25.027705038160544
3065.0,25.616820169644544
3066.0,26.363883245449237
3067.0,27.019541093313446
3068.0,27.544926245456846
3069.0,28.14632732525976
3070.0,29.093544005472925
3071.0,29.993641698494635
3072.0,30.91890188589286
3073.0,31.708227602766236
3074.0,32.332588216845316
3075.0,33.06321996050025
3076.0,33.54815699536505
3077.0,33.90306223359307
3078.0,34.00444688108265
3079.0,33.80705598017424
3080.0,33.69821260728021
3081.0,33.80563286491697
3082.0,34.03023567247175
3083.0,34.433096347717225
3084.0,35.280482002682696
3085.0,36.11223111269392
3086.0,36.071200800313356
3087.0,35.91875551510559
3088.0,36.05351475513175
3089.0,36.409814140069386
3090.0,36.82255705334243
3091.0,37.220179471179414
3092.0,37.958585834683504
3093.0,38.712425296555786
3094.0,39.86920516473754
3095.0,41.4078759006305
3096.0,42.524669631659734
3097.0,43.33684273811684
3098.0,43.81538218337735
3099.0,43.96812089825469
3100.0,44.18170345788628
3101.0,44.1503192042464
3102.0,44.044538489104546
3103.0,43.86153628142676
3104.0,44.09596617890681
3105.0,44.87304768273907
3106.0,45.58569192799529
3107.0,45.956029160223906
3108.0,46.222389621646634
3109.0,46.61015503763491
3110.0,47.020184597888296
3111.0,47.260735344532286
3112.0,47.3729344030767
3113.0,47.154290107028444
3114.0,46.97296159171509
3115.0,47.105446813844374
3116.0,47.76948697027262
3117.0,48.822034839598835
3118.0,49.866738189103735
3119.0,50.85261990148602
3120.0,51.67249076818757
3121.0,52.32279833290027
3122.0,52.75306560739312
3123.0,53.141400855439606
3124.0,53.73729808895788
3125.0,54.52571648221
3126.0,55.13177646284098
3127.0,55.49815081789171
3128.0,55.87470676451523
3129.0,56.102035312043355
3130.0,56.239992073754415
3131.0,56.553283171261256
3132.0,56.52200658481386
3133.0,56.2713541545288
3134.0,55.45045752275582
3135.0,54.60108872383158
3136.0,54.492149672988354
3137.0,55.19008344125598
3138.0,55.85459599341175
3139.0,56.70829242276435
3140.0,57.64375683920959
3141.0,58.460172219807426
3142.0,59.393871750356894
3143.0,60.33521873059472
3144.0,106.6442528461869
3145.0,140.9264978589192
3146.0,113.6194524100329
3147.0,88.82812096625244
3148.0,73.97831227408102
3149.0,149.0038203824771
3150.0,63.62104905409556
3151.0,110.21429295014792
3152.0,117.21913954275968
3153.0,63.70546785846051
3154.0,63.00531340788127
3155.0,134.91648349893472
3156.0,60.73792933886689
3157.0,61.12304876958837
3158.0,62.27126284063937
3159.0,63.29788060929536
3160.0,64.62346604882396
3161.0,65.52942786139711
3162.0,66.25799680550874
3163.0,66.73015374190366
3164.0,67.1950623420235
3165.0,80.81335510634099
3166.0,68.52003923718192
3167.0,69.24595163715055
3168.0,69.69906211623517
3169.0,69.49923622249999
3170.0,68.78882100555887
3171.0,89.59181662691745
3172.0,68.14768433589953
3173.0,94.71750790840531
3174.0,68.78903417211636
3175.0,68.43166214061796
3176.0,67.27698652803716
3177.0,66.49916481424788
3178.0,67.1443722189181
3179.0,68.43214102845984
3180.0,69.44479628548063
3181.0,69.82844425876527
3182.0,70.47530406303173
3183.0,71.41246597314772
3184.0,72.52355893675994
3185.0,73.52831127155906
3186.0,74.19930413987996
3187.0,74.631072272926
3188.0,74.95978468152569
3189.0,75.32481656424942
3190.0,75.928700010041
3191.0,76.42070885072795
3192.0,76.31895505976703
3193.0,75.5779539180181
3194.0,74.01409297909647
3195.0,72.4318187747818
3196.0,72.25812379366941
3197.0,72.86154725012229
3198.0,73.41278073495025
3199.0,72.95824214725349
3200.0,71.88129145877679
3201.0,71.69792184571376
3202.0,72.75674784579782
3203.0,74.18776467736247
3204.0,75.41793098394994
3205.0,76.26081065260881
3206.0,76.69832416466413
3207.0,77.39011865950037
3208.0,78.38122165589212
3209.0,79.19110020636721
3210.0,111.79991996913927
3211.0,169.383511841663
3212.0,99.27515756070284
3213.0,194.6933652600997
3214.0,80.23178750763628
3215.0,168.9008333650949
3216.0,80.44856055603556
3217.0,170.92626019916977
3218.0,80.18933290217674
3219.0,89.16023288528507
3220.0,142.1312945389241
3221.0,75.20686559854751
3222.0,75.64380210068788
3223.0,159.23904045795808
3224.0,77.57615406142449
3225.0,77.93920851798129
3226.0,76.52411524001259
3227.0,75.79568876864033
3228.0,76.36368997704315
3229.0,77.45990597050627
3230.0,78.71873331172633
3231.0,97.2547626602539
3232.0,80.89585180246651
3233.0,81.76615653764642
3234.0,82.45735759798015
3235.0,83.10608704791736
3236.0,83.58750842204516
3237.0,105.94488537394577
3238.0,84.48235405393507
3239.0,84.66059553088513
3240.0,96.04302453040904
3241.0,83.93907129885206
3242.0,83.33461957662016
3243.0,83.10752359261691
3244.0,83.15278105807322
3245.0,83.22310913109452
3246.0,83.02959986829917
3247.0,81.78398853619835
3248.0,79.71718429711554
3249.0,78.65837226576942
3250.0,79.03790367785479
3251.0,79.85211415821611
3252.0,80.86723878805634
3253.0,81.70329816321065
3254.0,81.81541454312318
3255.0,81.2844776317636
3256.0,81.30291244005895
3257.0,81.91056350622533
3258.0,82.65730778230859
3259.0,98.25011074871182
3260.0,113.90316264395761
3261.0,110.14315148995544
3262.0,90.94337296154413
3263.0,113.54978623555951
3264.0,119.65602933801486
3265.0,85.97514560929586
3266.0,154.44779087844339
3267.0,86.3788715485526
3268.0,101.8704136693239
3269.0,86.45690294644504
3270.0,120.23571679476214
3271.0,85.32197380016869
3272.0,84.70842123548557
3273.0,154.88795547600557
3274.0,84.70587826056132
3275.0,85.00122595156014
3276.0,85.1293338690818
3277.0,137.87751852178383
3278.0,83.34438740705657
3279.0,82.08742054423506
3280.0,81.60053469501683
3281.0,81.86926924676057
3282.0,158.29774450589372
3283.0,98.14935118657493
3284.0,84.08718625564475
