wav,flux
3000.0,0.2503779589163792
3001.0,0.2268549379982887
3002.0,0.22501781664907872
3003.0,0.22925272167181504
3004.0,0.2473670864040312
3005.0,0.2899712367848493
3006.0,0.3183314312157692
3007.0,0.32463124129691534
3008.0,0.3224128601396217
3009.0,0.34483079799362043
3010.0,0.39794015806654565
3011.0,0.46987334054554614
3012.0,0.5023720101361359
3013.0,0.5161124372525643
3014.0,0.5438987439811707
3015.0,0.5532892869959127
3016.0,0.5503399571649302
3017.0,0.5304619935630711
3018.0,0.49365446120062967
3019.0,0.4604735548693625
3020.0,0.43497734798951165
3021.0,0.4096731527252147
3022.0,0.4326014943639355
3023.0,0.5409857985928811
3024.0,0.6445181047040692
3025.0,0.6865862417046352
3026.0,0.7171553166824397
3027.0,0.7782466354733509
3028.0,0.9789258519641071
3029.0,1.083250879637483
3030.0,1.1160015845915627
3031.0,1.1556348021713818
3032.0,1.1782336400741036
3033.0,1.2913751499942752
3034.0,1.3446000466635786
3035.0,1.3317386201272061
3036.0,1.3440516407295662
3037.0,1.2864175918119158
3038.0,1.1485878986628952
3039.0,1.1344321709766996
3040.0,1.2070568099708396
3041.0,1.201968395668918
3042.0,1.1912752150854404
3043.0,1.216901542132457
3044.0,1.3460060761632127
3045.0,1.4492753120971182
3046.0,1.5327339360718781
3047.0,1.5869829016273949
3048.0,1.481402268329324
3049.0,1.5567928679856262
3050.0,1.7965468316869495
3051.0,1.8915595768476905
3052.0,2.0222202893113734
3053.0,2.1568078278836085
3054.0,2.0052054084543074
3055.0,1.8407688148187524
3056.0,1.8329490933415244
3057.0,1.805043679116552
3058.0,1.6082405905111588
3059.0,1.5216477827969077
3060.0,1.5607083772048829
3061.0,1.7477053980112447
3062.0,1.8902261722207503
3063.0,1.9419131990475273
3064.0,1.9163572267880054
3065.0,1.8678086957914952
3066.0,1.9689317936521247
3067.0,1.963326571349948
3068.0,1.94895528987566
3069.0,2.1455589929605203
3070.0,2.4191570887239684
3071.0,2.5727176262139357
3072.0,2.652777574212367
3073.0,2.670510154130058
3074.0,2.778711838205769
3075.0,2.8630220660045858
3076.0,2.7585827834706023
3077.0,2.868559282981342
3078.0,2.976419731603232
3079.0,2.869235732832951
3080.0,2.977440866895396
3081.0,3.0236337105352646
3082.0,2.909576555063009
3083.0,2.8265836539605775
3084.0,2.9384628656712617
3085.0,3.220698098115542
3086.0,3.373238444573951
3087.0,3.261849560282768
3088.0,3.058118886271844
3089.0,2.9461222932527185
3090.0,2.929295101391748
3091.0,2.795226172334839
3092.0,2.625690664077038
3093.0,2.5227110107275523
3094.0,2.45842160782834
3095.0,2.7089261230830446
3096.0,2.9478163832779294
3097.0,2.8303891025066816
3098.0,2.6686540935740393
3099.0,2.803343327992676
3100.0,2.7019123307507447
3101.0,2.5248633492716506
3102.0,2.6343598676084907
3103.0,2.9794231970511222
3104.0,3.523238707946104
3105.0,3.98341684223122
3106.0,4.232578323950133
3107.0,4.484419742701772
3108.0,4.769899598629795
3109.0,5.062510611098941
3110.0,5.174850460183367
3111.0,5.088392721387967
3112.0,5.149615193170715
3113.0,5.212730240609638
3114.0,5.154370881047934
3115.0,4.913547886881759
3116.0,4.984632265197962
3117.0,4.82386532449153
3118.0,4.567715592504234
3119.0,4.507194683393996
3120.0,4.421540020847599
3121.0,4.3906539742539294
3122.0,4.436575137005765
3123.0,4.514040738934919
3124.0,4.814380633398825
3125.0,5.025922715998559
3126.0,4.850671632242126
3127.0,4.864945410480578
3128.0,5.048902701646179
3129.0,5.125287147763651
3130.0,5.187740580944361
3131.0,5.24981036279726
3132.0,5.226985916565152
3133.0,5.226253353804705
3134.0,5.169879461405875
3135.0,5.087790452431491
3136.0,5.301123748841337
3137.0,5.444053433394286
3138.0,5.690837316245601
3139.0,5.985253768074106
3140.0,6.062842052211864
3141.0,5.955644284975709
3142.0,5.948595874956685
3143.0,5.6972653445424255
3144.0,5.068171076367302
3145.0,4.66779376693466
3146.0,4.958980543996506
3147.0,5.403766840521792
3148.0,5.562958390067623
3149.0,5.893040660682555
3150.0,6.271486231023364
3151.0,6.270599182365453
3152.0,6.355748149720885
3153.0,6.308217280069882
3154.0,6.194603688976635
3155.0,5.79648014122441
3156.0,5.542882339994928
3157.0,5.166845278660304
3158.0,4.686827803542261
3159.0,4.437079999668992
3160.0,4.361078490489821
3161.0,4.459718443320954
3162.0,4.584136225860833
3163.0,4.935434693440699
3164.0,5.490041614336414
3165.0,5.740908873185787
3166.0,5.958269314528564
3167.0,6.2562170530803956
3168.0,6.736409898904364
3169.0,6.888982039172627
3170.0,7.106732236973746
3171.0,7.649276695398359
3172.0,8.115776554095337
3173.0,8.364830187942905
3174.0,8.388908885626648
3175.0,8.10255646419856
3176.0,7.666037123042456
3177.0,7.5983201248636885
3178.0,7.41056112982006
3179.0,6.733533040142095
3180.0,6.1339209325490955
3181.0,5.8488040541809525
3182.0,5.765245196878428
3183.0,5.833474599807433
3184.0,6.1227276928012975
3185.0,6.43222340653899
3186.0,6.776344310995922
3187.0,7.0926551702755924
3188.0,7.303583657115294
3189.0,7.6092650393831445
3190.0,8.100070737496823
3191.0,7.963893984670945
3192.0,7.2945605461452425
3193.0,6.6681279468093075
3194.0,6.4565310198977
3195.0,6.679587911894084
3196.0,6.886504007427523
3197.0,7.152720876870687
3198.0,7.494451157618166
3199.0,8.184093693509656
3200.0,8.353684798619486
3201.0,8.093307366900573
3202.0,8.553225652456499
