Wavelength,T
673,0.000327817
674,0.000466773
675,0.000679011
676,0.000831979
677,0.000585159
678,0.000354664
679,0.000233678
680,0.000171516
681,0.000123252
682,0.000111169
683,0.00011314
684,0.000136245
685,0.00013467
686,0.000177442
687,0.000256285
688,0.00037041
689,0.000611788
690,0.000851074
691,0.00166368
692,0.00325104
693,0.00708244
694,0.0164924
695,0.044292101
696,0.134443003
697,0.49411701
698,2.276089974
699,13.01729977
700,52.53000259
701,91.21770263
702,97.63320088
703,98.3099997
704,97.98499942
705,97.92109728
706,98.44560027
707,98.52160215
708,98.45579863
709,98.27209711
710,98.74989986
711,98.84960055
712,98.39339852
713,98.09039831
714,98.10349941
715,98.36840034
716,98.6710012
717,98.79980087
718,98.67320061
719,98.46770167
720,98.49339724
721,98.28730226
722,98.76229763
723,98.565799
724,98.67069721
725,98.99640083
726,98.72999787
727,98.73430133
728,98.41589928
729,98.41820002
730,97.89680243
731,97.8441
732,97.78289795
733,97.86599874
734,98.11649919
735,98.46950173
736,98.63060117
737,98.40890169
738,98.42560291
739,98.21310043
740,98.40819836
741,98.96129966
742,98.75580072
743,98.85870218
744,98.95099998
745,99.07420278
746,98.5532999
747,98.88280034
748,98.65000248
749,98.57720137
750,98.79369736
751,98.78879786
752,99.00010228
753,98.71960282
754,98.83019924
755,98.66859913
756,98.78879786
757,98.71960282
758,98.69700074
759,98.80369902
760,98.65450263
761,98.72490168
762,99.04230237
763,98.84229898
764,99.01340008
765,98.79590273
766,98.4860003
767,98.911798
768,98.44040275
769,98.51179719
770,98.73179793
771,98.52529764
772,98.85230064
773,98.75370264
774,99.10280108
775,98.43189716
776,98.54829907
777,98.61829877
778,98.60739708
779,98.49280119
780,98.19219708
781,98.93479943
782,99.00500178
783,98.76319766
784,98.82640243
785,98.27250242
786,98.57339859
787,98.79969954
788,98.73600006
789,99.01509881
790,98.26700091
791,98.96209836
792,98.79059792
793,98.66600037
794,98.348701
795,98.23600054
796,98.7195015
797,98.56960177
798,98.25140238
799,98.89400005
800,98.37710261
801,98.31219912
802,98.50199819
803,98.40729833
804,98.4645009
805,98.5976994
806,98.89829755
807,98.35960269
808,98.11900258
809,98.45359921
810,98.1851995
811,98.99039865
812,98.2032001
813,98.63290191
814,98.76400232
815,98.36990237
816,97.95079827
817,97.39800096
818,97.7207005
819,97.84970284
820,98.13629985
821,97.66460061
822,98.20230007
823,98.4727025
824,98.36210012
825,97.62669802
826,97.92090058
