wav,flux
3000.0,0.4401073303295073
3001.0,0.4402929436227014
3002.0,0.45382410409395635
3003.0,0.47579840685551184
3004.0,0.4902073648595268
3005.0,0.5053630062739608
3006.0,0.517225434217093
3007.0,0.5403707080782582
3008.0,0.568472436352115
3009.0,0.600932674590401
3010.0,0.6395218304599367
3011.0,0.6729438486771221
3012.0,0.7162058929760226
3013.0,0.7467462723265961
3014.0,0.7706690981906676
3015.0,0.801896258043508
3016.0,0.8221342266746453
3017.0,0.8342473244916292
3018.0,0.8461888435654641
3019.0,0.8587530520447364
3020.0,0.8728821357824696
3021.0,0.8945475034577862
3022.0,0.9229317761591652
3023.0,0.9495005643795691
3024.0,0.9819204107109769
3025.0,1.0259832684859314
3026.0,1.0708653300578288
3027.0,1.1194721033445179
3028.0,1.1723459163198233
3029.0,1.214723401279515
3030.0,1.272511387962843
3031.0,1.3228912541502655
3032.0,1.3637704905460144
3033.0,1.402062183562459
3034.0,1.4271488428675836
3035.0,1.4540073684017283
3036.0,1.4794709809130546
3037.0,1.5063133204501769
3038.0,1.5203717859987618
3039.0,1.5177580069041277
3040.0,1.5232719780091155
3041.0,1.5449502702560793
3042.0,1.592741674626119
3043.0,1.6440748026547927
3044.0,1.6905283301129963
3045.0,1.73276616715004
3046.0,1.7829922665895752
3047.0,1.858866063317529
3048.0,1.9293247526970283
3049.0,1.9999698387824512
3050.0,2.079701190479718
3051.0,2.1492220658111267
3052.0,2.217512942173444
3053.0,2.272394542919548
3054.0,2.315848264862491
3055.0,2.3490051552803823
3056.0,2.362869034097026
3057.0,2.369247579130225
3058.0,2.3854854425329863
3059.0,2.4189670396898943
3060.0,2.456480236170883
3061.0,2.478598453566645
3062.0,2.477932186992527
3063.0,2.4798176849892752
3064.0,2.5107121331586155
3065.0,2.5730317864330354
3066.0,2.65199361897289
3067.0,2.721501160781352
3068.0,2.7774326353833096
3069.0,2.841432396016856
3070.0,2.941941133134636
3071.0,3.037670463156244
3072.0,3.1362307554620874
3073.0,3.220584702558063
3074.0,3.2875977621612
3075.0,3.3659701538081532
3076.0,3.4183753665774548
3077.0,3.4570278118038336
3078.0,3.46877452973589
3079.0,3.448773541726718
3080.0,3.438176050632323
3081.0,3.4505644372951205
3082.0,3.4754260240281694
3083.0,3.5192837574875773
3084.0,3.610561726891475
3085.0,3.7003117764681352
3086.0,3.696970769228289
3087.0,3.6817305362441894
3088.0,3.6971578701561705
3089.0,3.73627355631514
3090.0,3.7814637979208037
3091.0,3.8250806288264703
3092.0,3.9052548074351536
3093.0,3.9871931240398912
3094.0,4.112528566393397
