Wavelength(nm),T,OD
666,2.70E-03,4.56846
667,1.90E-03,4.72182
668,1.57E-03,4.80282
669,2.54E-03,4.5955
670,2.59E-03,4.58678
671,1.18E-03,4.92753
672,8.42E-04,5.07453
673,1.02E-03,4.99236
674,1.81E-03,4.74193
675,2.97E-03,4.52756
676,2.97E-03,4.52724
677,2.63E-03,4.58059
678,2.21E-03,4.65643
679,1.91E-03,4.72006
680,2.15E-03,4.66691
681,3.00E-03,4.5228
682,2.54E-03,4.5954
683,1.65E-03,4.78279
684,1.77E-03,4.75225
685,3.07E-03,4.51345
686,1.36E-03,4.86692
687,4.91E-04,5.30906
688,3.88E-04,5.41126
689,1.00E-03,4.99931
690,8.73E-04,5.05913
691,7.72E-05,6.11219
692,2.27E-05,6.64356
693,1.14E-05,6.94152
694,8.26E-06,7.08282
695,8.18E-06,7.08705
696,1.13E-05,6.94529
697,2.46E-05,6.60832
698,1.31E-04,5.88342
699,1.42E-03,4.84889
700,1.12E-04,5.94918
701,6.38E-05,6.19504
702,5.75E-05,6.24071
703,4.17E-05,6.37998
704,2.30E-05,6.63912
705,1.40E-05,6.85249
706,1.07E-05,6.97219
707,9.70E-06,7.0131
708,9.94E-06,7.00244
709,1.10E-05,6.96021
710,1.31E-05,6.88286
711,1.82E-05,6.74064
712,3.28E-05,6.48355
713,9.53E-05,6.02106
714,8.43E-04,5.07443
715,9.70E-04,5.01327
716,2.95E-04,5.53077
717,2.86E-04,5.54297
718,5.83E-04,5.23454
719,1.40E-03,4.85243
720,7.56E-04,5.12135
721,4.12E-04,5.38487
722,2.97E-04,5.52785
723,2.13E-04,5.67194
724,1.56E-04,5.80634
725,1.42E-04,5.84858
726,1.81E-04,5.7418
727,3.62E-04,5.44158
728,1.10E-03,4.95827
729,1.69E-03,4.77252
730,1.81E-03,4.74242
731,2.79E-03,4.55407
732,3.39E-04,5.46939
733,7.24E-05,6.14007
734,2.64E-05,6.57912
735,1.28E-05,6.89111
736,7.55E-06,7.12195
737,5.14E-06,7.28921
738,4.04E-06,7.39411
739,3.73E-06,7.42796
740,4.23E-06,7.37398
741,6.29E-06,7.20104
742,1.46E-05,6.835
743,1.04E-04,5.9847
744,1.42E-04,5.84848
745,2.15E-05,6.6671
746,1.15E-05,6.94078
747,1.05E-05,6.98063
748,1.43E-05,6.84401
749,2.83E-05,6.54846
750,5.65E-05,6.24822
751,4.97E-05,6.30395
752,3.75E-05,6.42626
753,4.32E-05,6.36429
754,8.92E-05,6.0498
755,4.81E-04,5.31809
756,2.69E-03,4.57027
757,1.51E-03,4.8198
758,4.29E-04,5.36708
759,4.07E-05,6.39025
760,1.01E-05,6.9973
761,4.12E-06,7.38515
762,2.32E-06,7.63414
763,1.64E-06,7.78427
764,1.37E-06,7.86443
765,1.24E-06,7.90526
766,1.15E-06,7.94088
767,1.02E-06,7.9928
768,8.87E-07,8.0523
769,8.10E-07,8.09137
770,8.24E-07,8.0841
771,9.72E-07,8.01243
772,1.37E-06,7.86202
773,2.41E-06,7.61817
774,5.35E-06,7.2715
775,1.32E-05,6.87855
776,2.12E-05,6.67333
777,2.35E-05,6.62946
778,3.71E-05,6.43045
779,1.83E-04,5.73862
780,3.37E-04,5.47215
781,3.25E-05,6.48824
782,1.37E-05,6.86362
783,9.93E-06,7.00318
784,1.03E-05,6.98509
785,1.48E-05,6.82909
786,2.90E-05,6.53818
787,6.96E-05,6.15738
788,1.22E-04,5.91192
789,1.45E-04,5.83932
790,2.60E-04,5.58539
791,1.81E-03,4.74132
792,5.38E-04,5.26939
793,1.32E-04,5.87851
794,8.87E-05,6.05222
795,1.23E-04,5.91022
796,5.60E-04,5.25167
797,7.80E-04,5.10768
798,1.05E-04,5.97975
799,5.85E-05,6.2328
800,7.60E-05,6.11932
801,9.72E-05,6.01223
802,1.64E-05,6.78404
803,4.12E-06,7.38464
804,1.64E-06,7.78542
805,8.77E-07,8.05708
806,5.85E-07,8.23294
807,4.69E-07,8.32859
808,4.47E-07,8.35008
809,5.06E-07,8.29622
810,6.96E-07,8.15728
811,1.24E-06,7.90809
812,3.30E-06,7.48125
813,2.52E-05,6.599
814,6.81E-05,6.16698
815,8.18E-06,7.08745
816,4.32E-06,7.36496
817,3.84E-06,7.41608
818,4.84E-06,7.31551
819,7.95E-06,7.09958
820,1.26E-05,6.90078
821,1.09E-05,6.96381
822,7.22E-06,7.14148
823,5.85E-06,7.2326
824,6.45E-06,7.19047
825,1.04E-05,6.98184
826,3.01E-05,6.52203
827,6.21E-05,6.20682
828,1.38E-05,6.85893
829,5.19E-06,7.28473
830,2.97E-06,7.52729
831,2.20E-06,7.65705
832,1.97E-06,7.70523
833,2.06E-06,7.68651
834,2.47E-06,7.6067
835,3.42E-06,7.4655
836,5.55E-06,7.25582
837,1.10E-05,6.9594
838,2.93E-05,6.53249
839,1.43E-04,5.84538
840,3.07E-03,4.51344
841,3.86E-04,5.4137
842,1.99E-04,5.70168
843,2.41E-04,5.61746
844,6.48E-04,5.1887
845,8.07E-04,5.09298
846,1.71E-04,5.76659
847,7.13E-05,6.14715
848,4.73E-05,6.32489
849,4.38E-05,6.35837
850,5.05E-05,6.29712
851,4.98E-05,6.30239
852,2.77E-05,6.55829
853,1.27E-05,6.89551
854,6.75E-06,7.17086
855,4.30E-06,7.36606
856,3.25E-06,7.48858
857,2.85E-06,7.54572
858,2.87E-06,7.54166
859,3.32E-06,7.47829
860,4.39E-06,7.35802
861,6.42E-06,7.19221
862,9.50E-06,7.02247
863,1.17E-05,6.93051
864,1.13E-05,6.946
865,1.02E-05,6.99073
866,1.03E-05,6.98917
867,1.25E-05,6.90228
868,2.01E-05,6.69596
869,4.88E-05,6.3113
870,1.48E-04,5.83049
871,6.18E-05,6.20915
872,2.18E-05,6.66207
873,1.18E-05,6.92685
874,8.51E-06,7.07005
875,7.46E-06,7.12749
876,7.63E-06,7.11757
877,8.87E-06,7.05212
878,1.14E-05,6.94219
879,1.57E-05,6.80386
880,2.18E-05,6.66133
881,2.89E-05,6.53875
882,3.64E-05,6.43898
883,4.60E-05,6.3369
884,6.34E-05,6.19777
885,1.02E-04,5.9906
886,2.06E-04,5.68668
887,5.50E-04,5.25969
888,1.76E-03,4.7542
889,3.10E-03,4.50933
890,2.26E-03,4.64596
891,8.30E-04,5.08091
892,2.55E-04,5.59405
893,9.73E-05,6.01195
894,4.72E-05,6.32582
895,2.79E-05,6.55502
896,1.92E-05,6.71575
897,1.52E-05,6.81925
898,1.34E-05,6.87333
899,1.31E-05,6.88387
900,1.39E-05,6.85607
901,1.60E-05,6.79577
902,1.95E-05,6.71089
903,2.44E-05,6.61263
904,3.06E-05,6.51466
905,3.72E-05,6.42893
906,4.36E-05,6.36018
907,4.94E-05,6.30616
908,5.44E-05,6.26447
909,5.78E-05,6.23802
910,5.86E-05,6.23221
911,5.68E-05,6.246
912,5.40E-05,6.26745
913,5.26E-05,6.27892
914,5.45E-05,6.26396
915,6.18E-05,6.20923
916,7.90E-05,6.10239
917,1.18E-04,5.9281
918,2.18E-04,5.66107
919,5.59E-04,5.25296
920,2.14E-03,4.66876
921,2.24E-03,4.64952
922,8.49E-04,5.07091
923,4.99E-04,5.30221
924,4.07E-04,5.39013
925,4.19E-04,5.37758
926,5.09E-04,5.29311
927,6.66E-04,5.17661
928,7.95E-04,5.09976
929,7.64E-04,5.11685
930,6.52E-04,5.18569
931,5.83E-04,5.23431
932,5.94E-04,5.22593
933,7.04E-04,5.15223
934,9.18E-04,5.03729
935,1.04E-03,4.98144
936,7.89E-04,5.1027
937,4.74E-04,5.32467
938,2.95E-04,5.52996
939,2.08E-04,5.68279
940,1.65E-04,5.78146
941,1.48E-04,5.83052
942,1.47E-04,5.83412
943,1.60E-04,5.79492
944,1.93E-04,5.71409
945,2.56E-04,5.59157
946,3.74E-04,5.42656
947,6.04E-04,5.21918
948,1.06E-03,4.97602
949,1.87E-03,4.72706
950,2.82E-03,4.54911
951,3.08E-03,4.51208
952,2.68E-03,4.57146
953,2.24E-03,4.64906
954,1.94E-03,4.7117
955,1.77E-03,4.7528
956,1.69E-03,4.77223
957,1.70E-03,4.76979
958,1.80E-03,4.74454
959,2.01E-03,4.69633
960,2.35E-03,4.62901
961,2.78E-03,4.55667
962,3.08E-03,4.51096
963,2.94E-03,4.53173
964,2.36E-03,4.62727
965,1.73E-03,4.76239
966,1.27E-03,4.89763
967,9.76E-04,5.01068
968,8.10E-04,5.09165
969,7.32E-04,5.13572
970,7.26E-04,5.13914
971,7.99E-04,5.0973
972,9.91E-04,5.00413
973,1.40E-03,4.85436
974,2.19E-03,4.65982
975,3.06E-03,4.51419
976,2.57E-03,4.59008
977,1.52E-03,4.81754
978,9.24E-04,5.03418
979,6.39E-04,5.19442
980,5.04E-04,5.29744
981,4.48E-04,5.34856
982,4.45E-04,5.35186
983,4.90E-04,5.30965
984,5.99E-04,5.22272
985,8.09E-04,5.09216
986,1.19E-03,4.92342
987,1.83E-03,4.73647
