wav,flux
3000.0,5.333277764507718
3001.0,4.826768416130459
3002.0,4.806157025433621
3003.0,4.929479490954224
3004.0,5.339109931815599
3005.0,6.282989302748152
3006.0,6.915916319703167
3007.0,7.095940900513194
3008.0,7.098762119278849
3009.0,7.653792513815081
3010.0,8.91403741176581
3011.0,10.602404542355584
3012.0,11.440343258678341
3013.0,11.821112863811722
3014.0,12.50809231114421
3015.0,12.793138646487122
3016.0,12.762476678454943
3017.0,12.316589157656585
3018.0,11.475221462457753
3019.0,10.717221373806664
3020.0,10.139060401711134
3021.0,9.576698743710798
3022.0,10.153134261707619
3023.0,12.741609257686882
3024.0,15.246696308754908
3025.0,16.341260592965753
3026.0,17.170174454267816
3027.0,18.748365281408383
3028.0,23.73600663878973
3029.0,26.389248647741653
3030.0,27.3651100195801
3031.0,28.486074595538273
3032.0,29.155079434654528
3033.0,32.0631951755896
3034.0,33.44236723680593
3035.0,33.18469977939861
3036.0,33.54720555612556
3037.0,32.165349278268955
3038.0,28.728047505290025
3039.0,28.330715295287938
3040.0,30.125265223997157
3041.0,30.03178880459864
3042.0,29.87917032823785
3043.0,30.645779229494643
3044.0,34.012690188544006
3045.0,36.72757478643044
3046.0,38.97960072532937
3047.0,40.59018224383603
3048.0,38.078114389937575
3049.0,40.20651916820251
3050.0,46.64378147992669
3051.0,49.32026642555616
3052.0,52.93799275551204
3053.0,56.62241654253252
3054.0,52.74414030270655
3055.0,48.474125358978206
3056.0,48.25610050123266
3057.0,47.484187429150765
3058.0,42.302974627035724
3059.0,40.068882086409786
3060.0,41.15216542172787
3061.0,46.09468319956176
3062.0,49.78957582885843
3063.0,51.09408283365748
3064.0,50.463233752962715
3065.0,49.32509239410192
3066.0,52.193482147512185
3067.0,52.205000332715976
3068.0,51.934289799125295
3069.0,57.31940913904656
3070.0,64.92350290240772
3071.0,69.32781651270022
3072.0,71.77722688503404
3073.0,72.48687671932535
3074.0,75.58862628581149
3075.0,78.09078150244724
3076.0,75.341618606505
3077.0,78.39372443159802
3078.0,81.28503956768215
3079.0,78.18369495744028
3080.0,80.98827219570299
3081.0,82.19026185038146
3082.0,79.08466336927331
3083.0,76.89243662727193
3084.0,80.17660058287632
3085.0,88.12645620141554
3086.0,92.16938685519827
