Wavelength,T
680,95.16680241
681,95.36479712
682,96.0514009
683,97.05349803
684,96.47189975
685,95.13400197
686,94.04000044
687,94.23109889
688,93.83630157
689,91.92669988
690,87.915802
691,84.78360176
692,85.14400125
693,87.09430099
694,86.35439873
695,88.23099732
696,49.60010052
697,23.43589962
698,3.015529923
699,0.830969959
700,0.228262995
701,0.075891498
702,0.029107
703,0.012316099
704,0.00585557
705,0.00298365
706,0.00169461
707,0.00106521
708,0.000560872
709,0.000289553
710,0.000347136
711,0.000191264
712,0.000217663
713,0.000250575
714,0.000181407
715,0.000172322
716,9.5E-05
717,0.000152971
718,0.000191967
719,0.00016981
720,0.000206481
721,0.000176477
722,0.000159546
723,9.5E-05
724,0.000190611
725,0.000214727
726,0.000278349
727,0.000373454
728,0.000858941
729,0.0014702
730,0.00082311
731,0.000416933
732,0.000470416
733,0.00014259
734,0.000319693
735,0.000236519
736,0.000211204
737,0.000264791
738,0.00044958
739,0.000213004
740,0.000501594
741,0.000502128
742,0.000378689
743,0.000431765
744,0.000416168
745,0.000511288
746,0.000289348
747,0.000352457
748,0.000448178
749,0.000492781
750,0.000691974
751,0.000563282
752,0.000718957
753,0.000871898
754,0.000778302
755,0.00131013
756,0.000953198
757,0.00100208
758,0.000708586
759,0.000894979
760,0.000704543
761,0.000682248
762,0.000791381
763,0.000673169
764,0.00100683
765,0.00127197
766,0.00152064
767,0.00138059
768,0.000782375
769,0.000796192
770,0.000797287
771,0.000792156
772,0.000694759
773,0.000641805
774,0.000560912
775,0.000258375
776,0.000702614
777,0.000455993
778,0.000651704
779,0.000664412
780,0.000939144
781,0.000512644
782,0.00096968
783,0.00111335
784,0.00147681
785,0.00139749
786,0.000843852
787,0.00129894
788,0.00153358
789,0.00152102
790,0.00128132
791,0.00175786
792,0.0015469
793,0.00131001
794,0.00105529
795,0.00211287
796,0.00166893
797,0.00185202
798,0.0015338
799,0.00201503
800,0.001022
801,0.000999398
802,0.00103544
803,0.000978565
804,0.000899008
805,0.00086783
806,0.000797862
807,0.000767398
808,0.000752421
809,0.000682488
810,0.000655387
811,0.000603474
812,0.000542789
813,0.000513259
814,0.000479208
815,0.000428479
816,0.000427967
817,0.000386143
818,0.00036773
819,0.000411798
820,0.000463825
821,0.000480196
822,0.0004934
823,0.000570168
824,0.000615171
825,0.000610844
826,0.000675033
827,0.000689633
828,0.000700283
829,0.000712692
830,0.000701913
831,0.0007076
832,0.000716204
833,0.00071163
834,0.000726895
835,0.000705611
836,0.000697502
837,0.000704514
838,0.000743751
839,0.000750181
840,0.000734552
841,0.0007148
842,0.000684482
843,0.000625014
844,0.000587685
845,0.000555245
846,0.000516838
847,0.000463087
848,0.000401481
849,0.000374099
850,0.000330743
851,0.000292298
852,0.00029154
853,0.000270663
854,0.0002202
855,0.00021633
856,0.000174286
857,0.000141134
858,0.000132907
859,0.000112445
860,0.000102178
861,9.94208E-05
862,9.5E-05
863,9.5E-05
864,9.5E-05
865,9.5E-05
866,9.5E-05
867,9.63691E-05
868,0.000116064
869,0.000104205
870,0.000123405
871,0.000169243
872,0.000184296
873,0.00022498
874,0.000214662
875,0.000237684
876,0.000257441
877,0.000286821
878,0.000297663
879,0.000311513
880,0.00032914
881,0.000329841
882,0.000402324
883,0.000463444
884,0.000590472
885,0.000693409
886,0.000822804
887,0.0009156
888,0.00101033
889,0.00110106
890,0.0011104
891,0.00106007
892,0.000994007
893,0.000867482
894,0.000740476
895,0.000635918
896,0.000566681
897,0.000490135
898,0.000483929
899,0.000493813
900,0.000549022
901,0.000606283
902,0.000671291
903,0.000680442
904,0.000750221
905,0.000714888
906,0.000695981
907,0.000617605
908,0.000541815
909,0.000475245
910,0.000415794
911,0.000358346
912,0.000315044
913,0.000328541
914,0.000333024
915,0.000343597
916,0.000380681
917,0.000462394
918,0.000584836
919,0.000677079
920,0.000807962
921,0.000958888
922,0.00104724
923,0.00105703
924,0.00102373
925,0.00094197
926,0.000821314
927,0.000743796
928,0.000647215
929,0.000562303
930,0.00054572
931,0.000538641
932,0.000567436
933,0.000612704
934,0.000721972
935,0.000814265
936,0.000946971
937,0.00103445
938,0.0011015
939,0.00107067
940,0.000952184
941,0.000820859
942,0.000692995
943,0.000571594
944,0.000448407
945,0.000372741
946,0.000313083
947,0.000301843
948,0.000273548
949,0.000277404
950,0.000259217
951,0.000265807
952,0.000267106
953,0.000294609
954,0.000340886
955,0.00040559
956,0.000470105
957,0.000550903
958,0.000670975
959,0.000860095
960,0.00105642
961,0.00124486
962,0.00143021
963,0.00159356
964,0.00168981
965,0.00176095
966,0.00174839
967,0.0017019
968,0.00168001
969,0.0016843
970,0.0016727
971,0.00170954
972,0.00174349
973,0.00181638
974,0.00188698
975,0.00196716
976,0.00203552
977,0.00204015
978,0.00201725
979,0.00198966
980,0.00194793
981,0.00189106
982,0.00177452
983,0.00171687
984,0.00157629
985,0.00147926
986,0.00135061
987,0.00121631
988,0.00110092
989,0.000966391
990,0.000845116
991,0.000734896
992,0.000632922
993,0.000592055
994,0.000504586
995,0.000459981
996,0.000395055
997,0.000357
998,0.000335636
999,0.000323587
1000,0.000304112
1001,0.000308068
1002,0.000307325
1003,0.000298884
1004,0.0003345
1005,0.000336291
1006,0.000363376
1007,0.00038967
1008,0.000431648
1009,0.000495511
1010,0.000584546
1011,0.000647918
1012,0.00073696
1013,0.000848854
1014,0.000934447
1015,0.000991349
1016,0.00105592
1017,0.00103614
1018,0.00102336
1019,0.000940822
1020,0.000858099
1021,0.000761069
1022,0.000680422
1023,0.000616091
1024,0.000545258
1025,0.00050403
1026,0.000465701
1027,0.000412194
1028,0.00039869
1029,0.000352562
1030,0.000346357
1031,0.000312009
1032,0.000306253
1033,0.000295846
1034,0.000271348
1035,0.000266881
1036,0.00025317
1037,0.000246085
1038,0.000252609
1039,0.000227426
1040,0.000232875
1041,0.000232273
1042,0.000241024
1043,0.000236688
1044,0.000270617
1045,0.000279342
1046,0.000302919
1047,0.000316333
1048,0.000335049
1049,0.000370594
1050,0.000444247
1051,0.000486998
1052,0.000566623
1053,0.000605252
1054,0.000669912
1055,0.000763682
1056,0.000823474
1057,0.000852263
1058,0.000874434
1059,0.000899859
1060,0.000859606
1061,0.000849006
1062,0.000843101
1063,0.000797372
1064,0.000801293
1065,0.000756302
1066,0.000756289
1067,0.000778625
1068,0.00078421
1069,0.000839146
1070,0.000885599
1071,0.000950999
1072,0.00106069
1073,0.00115926
1074,0.00127958
1075,0.00140016
1076,0.0014817
1077,0.0015738
1078,0.00157859
1079,0.00154601
1080,0.00146537
1081,0.00135694
1082,0.00121523
1083,0.0010913
1084,0.00100661
1085,0.00089752
1086,0.000797929
1087,0.000764045
1088,0.000758576
1089,0.000710735
1090,0.000716961
1091,0.000712561
1092,0.000708229
1093,0.000765005
1094,0.00078166
1095,0.000834881
1096,0.00092636
1097,0.000963129
1098,0.00107122
1099,0.00111935
