3132 0.00185031
3153.4171 0.00359291
3174.8342 0.00533552
3196.2513 0.00707845
3217.6683 0.00885945
3239.0854 0.0109945
3260.5025 0.014381
3281.9196 0.020276
3303.3367 0.0297521
3324.7538 0.0433065
3346.1709 0.0604515
3367.5879 0.0798317
3389.005 0.100126
3410.4221 0.120613
3431.8392 0.140981
3453.2563 0.161027
3474.6734 0.180656
3496.0905 0.199991
3517.5075 0.219268
3538.9246 0.238689
3560.3417 0.258342
3581.7588 0.278048
3603.1759 0.297211
3624.593 0.315099
3646.0101 0.331554
3667.4271 0.347138
3688.8442 0.362455
3710.2613 0.377733
3731.6784 0.392928
3753.0955 0.407815
3774.5126 0.422136
3795.9296 0.435892
3817.3467 0.44934
3838.7638 0.462705
3860.1809 0.476063
3881.598 0.489415
3903.0151 0.5027
3924.4322 0.515727
3945.8492 0.52826
3967.2663 0.540237
3988.6834 0.551755
4010.1005 0.562923
4031.5176 0.573858
4052.9347 0.584676
4074.3518 0.595398
4095.7688 0.605947
4117.1859 0.61629
4138.603 0.626497
4160.0201 0.636656
4181.4372 0.646764
4202.8543 0.656679
4224.2714 0.666212
4245.6884 0.675331
4267.1055 0.684204
4288.5226 0.693004
4309.9397 0.701789
4331.3568 0.710536
4352.7739 0.71918
4374.191 0.727685
4395.608 0.736085
4417.0251 0.744431
4438.4422 0.752711
4459.8593 0.760863
4481.2764 0.768867
4502.6935 0.776776
4524.1106 0.784638
4545.5276 0.792401
4566.9447 0.799937
4588.3618 0.807179
4609.7789 0.814213
4631.196 0.82117
4652.6131 0.828103
4674.0302 0.834996
4695.4472 0.841819
4716.8643 0.848575
4738.2814 0.855297
4759.6985 0.862009
4781.1156 0.86873
4802.5327 0.875513
4823.9497 0.882471
4845.3668 0.889675
4866.7839 0.896978
4888.201 0.904016
4909.6181 0.910486
4931.0352 0.916449
4952.4523 0.92223
4973.8693 0.928091
4995.2864 0.934094
5016.7035 0.940211
5038.1206 0.946354
5059.5377 0.95228
5080.9548 0.957676
5102.3719 0.962442
5123.7889 0.966692
5145.206 0.970437
5166.6231 0.973641
5188.0402 0.976578
5209.4573 0.979742
5230.8744 0.983358
5252.2915 0.987253
5273.7085 0.991149
5295.1256 0.994718
5316.5427 0.997476
5337.9598 0.999131
5359.3769 0.999898
5380.794 1
5402.2111 0.999195
5423.6281 0.997245
5445.0452 0.994476
5466.4623 0.991514
5487.8794 0.988816
5509.2965 0.98651
5530.7136 0.984469
5552.1307 0.982509
5573.5477 0.9804
5594.9648 0.977642
5616.3819 0.973635
5637.799 0.968323
5659.2161 0.962265
5680.6332 0.955943
5702.0503 0.949221
5723.4673 0.941385
5744.8844 0.931868
5766.3015 0.920955
5787.7186 0.909397
5809.1357 0.897494
5830.5528 0.884856
5851.9698 0.870991
5873.3869 0.855997
5894.804 0.840436
5916.2211 0.82467
5937.6382 0.808521
5959.0553 0.791503
5980.4724 0.773404
6001.8894 0.754566
6023.3065 0.735468
6044.7236 0.716331
6066.1407 0.697188
6087.5578 0.678005
6108.9749 0.658686
6130.392 0.639141
6151.809 0.619389
6173.2261 0.599534
6194.6432 0.579656
6216.0603 0.559776
6237.4774 0.539881
6258.8945 0.519848
6280.3116 0.499346
6301.7286 0.478043
6323.1457 0.455994
6344.5628 0.433566
6365.9799 0.411051
6387.397 0.388589
6408.8141 0.366383
6430.2312 0.344724
6451.6482 0.323904
6473.0653 0.30436
6494.4824 0.286535
6515.8995 0.270251
6537.3166 0.254754
6558.7337 0.239452
6580.1508 0.224165
6601.5678 0.208883
6622.9849 0.193714
6644.402 0.179133
6665.8191 0.165945
6687.2362 0.154511
6708.6533 0.144291
6730.0704 0.134517
6751.4874 0.124897
6772.9045 0.115553
6794.3216 0.10668
6815.7387 0.0983835
6837.1558 0.0907751
6858.5729 0.0839027
6879.9899 0.0775585
6901.407 0.0714237
6922.8241 0.0653255
6944.2412 0.0592319
6965.6583 0.0531926
6987.0754 0.0474019
7008.4925 0.0421429
7029.9095 0.0374954
7051.3266 0.0332343
7072.7437 0.0291054
7094.1608 0.0250913
7115.5779 0.0214706
7136.995 0.0186039
7158.4121 0.0165229
7179.8291 0.0148894
7201.2462 0.0133822
7222.6633 0.0118901
7244.0804 0.0104142
7265.4975 0.00898546
7286.9146 0.00762712
7308.3317 0.00632677
7329.7487 0.00505194
7351.1658 0.00378224
7372.5829 0.0025128
7394 0.00124336
